,Date
837,20200312
838,20200312
839,20200312
840,20200312
841,20200312
842,20200312
843,20200312
844,20200312
845,20200312
846,20200312
847,20200312
848,20200312
849,20200312
850,20200312
851,20200312
852,20200312
853,20200312
854,20200312
855,20200312
856,20200312
857,20200312
858,20200312
859,20200312
860,20200312
861,20200312
862,20200312
863,20200312
864,20200312
865,20200312
866,20200312
867,20200312
868,20200312
869,20200312
870,20200312
871,20200312
872,20200312
873,20200312
874,20200312
875,20200312
876,20200312
877,20200312
878,20200312
879,20200312
880,20200312
881,20200312
882,20200312
883,20200312
884,20200312
885,20200312
886,20200312
887,20200312
888,20200312
889,20200312
890,20200312
891,20200312
892,20200312
893,20200312
894,20200312
895,20200312
896,20200312
897,20200312
898,20200312
899,20200312
900,20200312
901,20200312
902,20200312
903,20200312
904,20200312
905,20200312
906,20200312
907,20200312
908,20200312
909,20200312
910,20200312
911,20200312
912,20200312
913,20200312
914,20200312
915,20200312
916,20200312
917,20200312
918,20200312
919,20200312
920,20200312
921,20200312
922,20200312
923,20200312
924,20200312
925,20200312
926,20200312
927,20200312
928,20200312
929,20200312
930,20200312
931,20200312
932,20200312
933,20200312
934,20200312
935,20200312
936,20200312
937,20200312
938,20200312
939,20200312
940,20200312
941,20200312
942,20200312
943,20200312
944,20200312
945,20200312
946,20200312
947,20200312
948,20200312
949,20200312
950,20200312
951,20200312
952,20200312
953,20200312
954,20200312
955,20200312
956,20200312
957,20200312
958,20200312
959,20200312
960,20200312
961,20200312
962,20200312
963,20200312
964,20200312
965,20200312
966,20200312
967,20200312
968,20200312
969,20200312
970,20200312
971,20200312
972,20200312
973,20200312
974,20200312
975,20200312
976,20200312
977,20200312
978,20200312
979,20200312
980,20200312
981,20200312
982,20200312
983,20200312
984,20200312
985,20200312
986,20200312
987,20200312
988,20200312
989,20200312
990,20200312
991,20200312
992,20200312
993,20200312
994,20200312
995,20200312
996,20200312
997,20200312
998,20200312
999,20200312
1000,20200312
